pays;reseau;nom;cle;Nobs;echantillon;p60;p300;dispersion;famille;motif
France;fr_sncf;Persan - Beaumont;fr_sncf|UIC87276469;2.5;10;100;100;0;QUARANTAINE;100 % des mouvements sous 60 s , aucun retard superieur a 5 min , dispersion 0.0 pt
France;fr_sncf;Champagne-Ardenne TGV;fr_sncf|UIC87171926;3.5;21;61.9;66.7;14.3;A_QUALIFIER;
Pays-Bas;nl_ovapi;Bunnik;nl_ovapi|bunnik@52.06,5.20;13.5;81;77.8;98.8;22.2;QUARANTAINE;ponctualite 98.8 %
Etats-Unis;us_mbta;Pawtucket/Central Falls;us_mbta|pawtucketcentralfalls@41.88,-71.39;10.2;51;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mta_lirr;;us_mta_lirr|20;15.4;77;55.8;84.4;40.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|317600;10.8;43;60.5;86;34.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|306806;14;56;44.6;94.6;55.4;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|588716;13.8;55;52.7;96.4;47.3;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|88808;11.3;45;62.2;95.6;37.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|419935;11;44;45.5;88.6;54.5;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|529704;5.5;22;72.7;81.8;13.6;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|403169;10.3;41;56.1;90.2;43.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|575661;13.5;54;75.9;96.3;22.2;A_QUALIFIER;
France;fr_sncf;Saint-Amand-les-Eaux;fr_sncf|UIC87343103;3.5;14;71.4;78.6;14.3;A_QUALIFIER;
France;fr_sncf;Rognac;fr_sncf|UIC87753251;5;25;68;92;28;A_QUALIFIER;
Allemagne;de_gtfsde;Oberlichtenau;de_gtfsde|oberlichtenau@50.91,12.96;12.3;74;64.9;83.8;25.7;A_QUALIFIER;
Etats-Unis;us_mbta;Canton Junction;us_mbta|cantonjunction@42.16,-71.15;15.5;93;100;100;0;EXCLUE;source rejetee en bloc
Allemagne;de_gtfsde;;de_gtfsde|323010;14;56;71.4;92.9;25;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|878;11.8;47;66;87.2;29.8;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|31734;10.8;43;34.9;62.8;44.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|181079;12.5;50;14;98;86;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|246993;12.3;49;40.8;89.8;55.1;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|228101;12.5;50;78;96;20;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|445350;10.8;43;39.5;69.8;37.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|58697;13.3;53;43.4;73.6;47.2;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|336906;14.3;57;43.9;78.9;50.9;A_QUALIFIER;
Allemagne;de_gtfsde;;de_gtfsde|239395;12.5;50;48;80;46;A_QUALIFIER;
Allemagne;de_gtfsde;Iserl., Letmathe Bf;de_gtfsde|iserlletmathebf@51.36,7.62;8.8;44;61.4;81.8;29.5;A_QUALIFIER;
Etats-Unis;us_mbta;Middleborough;us_mbta|middleborough@41.89,-70.92;9.6;48;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mbta;Norwood Central;us_mbta|norwoodcentral@42.19,-71.20;10.8;54;100;100;0;EXCLUE;source rejetee en bloc
Etats-Unis;us_mta_lirr;;us_mta_lirr|59;13.4;67;59.7;89.6;35.8;A_QUALIFIER;
Allemagne;de_gtfsde;Rollhofen;de_gtfsde|rollhofen@49.54,11.34;9.2;55;70.9;100;29.1;QUARANTAINE;aucun retard superieur a 5 min
Allemagne;de_gtfsde;Speele;de_gtfsde|speele@51.38,9.56;11.3;68;76.5;92.6;17.6;A_QUALIFIER;
Etats-Unis;us_mbta;Framingham;us_mbta|framingham@42.28,-71.42;11.5;69;100;100;0;EXCLUE;source rejetee en bloc
