pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Allemagne;de_gtfsde;;de_gtfsde|337719;89;56.8;64;43.6;77.5;90.3;46.7;1.2;1.14;30;15;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.20)
Etats-Unis;us_mta_mnr;;us_mta_mnr|131;99.5;56.5;57;40.1;80.2;93.2;53.1;0.17;0.16;25;70;6;0;0;REJETEE;identite non resolue
Pays-Bas;nl_ovapi;Tilburg Universiteit;nl_ovapi|tilburguniversiteit@51.57,5.05;86.5;56.5;65;74.6;97.6;99.7;25.1;0.45;0.39;7;99;6;0.17;0;REJETEE;volume irregulier (CV 0.45)
Pays-Bas;nl_ovapi;Helmond;nl_ovapi|helmond@51.48,5.66;63.3;56.5;89;54.3;94.7;97.9;43.7;0.4;0.4;15;145;6;0.17;0;REJETEE;volume irregulier (CV 0.40)
Pays-Bas;nl_ovapi;Leeuwarden;nl_ovapi|leeuwarden@53.20,5.79;90;56.3;63;79.9;97.6;99.4;19.5;0.48;0.55;5;225;6;0;0;REJETEE;volume irregulier (CV 0.48)
Allemagne;de_gtfsde;;de_gtfsde|127741;84;56.3;67;80.4;95.6;97.8;17.3;0.97;0.89;8;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.97)
Allemagne;de_gtfsde;;de_gtfsde|380397;120.8;56;46;83.9;92;96.4;12.5;1.16;1.12;10;11;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.16)
Allemagne;de_gtfsde;;de_gtfsde|124940;95.3;56;59;29.5;56.3;73.2;43.7;1.34;1.27;37;22;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.34)
Pays-Bas;nl_ovapi;Heerhugowaard;nl_ovapi|heerhugowaard@52.67,4.82;73.3;55.8;76;63.3;96.1;98.8;35.5;0.44;0.4;11;162;6;0.17;0;REJETEE;volume irregulier (CV 0.44)
Pays-Bas;nl_ovapi;Blerick;nl_ovapi|blerick@51.37,6.16;77;55.3;72;50.9;93.4;97.9;47;0.53;0.47;11;91;6;0.33;0;REJETEE;volume irregulier (CV 0.53)
