pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Pays-Bas;nl_ovapi;Roosendaal;nl_ovapi|roosendaal@51.54,4.46;155.7;103.8;67;64.4;96.5;98.1;33.7;0.32;0.27;8;117;6;0.17;0;RETENUE;
Australie;au_translink_seq;Albion station;au_translink_seq|albionstation@-27.43,153.04;168;85;51;37.8;93.3;99.2;61.4;0.18;0.23;18;82;6;0.17;0.83;RETENUE;
Australie;au_translink_seq;Wooloowin station;au_translink_seq|wooloowinstation@-27.42,153.04;168.3;82.5;49;37.6;92.3;99.2;61.6;0.19;0.24;19;83;6;0.17;0.83;RETENUE;
Australie;au_translink_seq;Petrie station;au_translink_seq|petriestation@-27.27,152.98;128.5;74.5;58;58.4;94.9;98.7;40.3;0.25;0.25;4;86;6;0.17;0.33;RETENUE;
Australie;au_translink_seq;Toowong station;au_translink_seq|toowongstation@-27.49,152.99;119.8;65.7;55;64.7;96.2;99.2;34.5;0.2;0.2;13;89;6;0.17;0.33;RETENUE;
Australie;au_translink_seq;Auchenflower station;au_translink_seq|auchenflowerstation@-27.48,153.00;120;65;54;63.6;95.6;99.2;35.6;0.2;0.2;13;89;6;0.17;0.33;RETENUE;
Australie;au_translink_seq;Oxley station;au_translink_seq|oxleystation@-27.55,152.97;120.2;64.5;54;56.3;95.9;99.2;42.9;0.22;0.25;15;86;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Indooroopilly station;au_translink_seq|indooroopillystation@-27.50,152.98;120.5;64;53;66.4;96.1;99.2;32.8;0.19;0.21;16;91;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Taringa station;au_translink_seq|taringastation@-27.49,152.98;120.2;64;53;59.1;96.9;99.5;40.4;0.19;0.2;16;90;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Loganlea station;au_translink_seq|loganleastation@-27.67,153.14;114.5;63.8;56;36;90.1;98.2;62.1;0.22;0.24;22;82;6;0;1.5;RETENUE;
Australie;au_translink_seq;Corinda station;au_translink_seq|corindastation@-27.54,152.98;122.3;63.7;52;60.5;95.3;99.2;38.7;0.26;0.27;17;83;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Milton station;au_translink_seq|miltonstation@-27.47,153.01;120.7;62.7;52;66.8;95.7;99.2;32.4;0.19;0.2;9;90;6;0.17;0.5;RETENUE;
Australie;au_translink_seq;Darra station;au_translink_seq|darrastation@-27.57,152.95;119.3;62.7;53;73.9;96;98.9;25;0.23;0.26;14;86;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Chelmer station;au_translink_seq|chelmerstation@-27.51,152.97;119.8;62.5;52;69.9;96.3;99.2;29.3;0.19;0.2;12;90;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Graceville station;au_translink_seq|gracevillestation@-27.52,152.98;120;59.8;50;65.7;96.1;99.2;33.4;0.19;0.2;17;89;6;0.17;0.17;RETENUE;
Pays-Bas;nl_ovapi;Apeldoorn;nl_ovapi|apeldoorn@52.21,5.97;95.8;59.5;62;68.1;93;98;30;0.27;0.29;11;150;6;0.83;0;RETENUE;
Australie;au_translink_seq;Sherwood station;au_translink_seq|sherwoodstation@-27.53,152.98;115.3;59;51;65.8;96.9;99.7;33.9;0.24;0.25;9;84;6;0.17;0.17;RETENUE;
Australie;au_translink_seq;Beenleigh station;au_translink_seq|beenleighstation@-27.72,153.20;117.5;58.5;50;75.2;92.9;99.1;23.9;0.22;0.25;15;79;6;0;1;RETENUE;
Australie;au_translink_seq;Altandi station;au_translink_seq|altandistation@-27.58,153.06;116.5;55.3;47;53;89.8;98.2;45.2;0.23;0.25;23;75;6;0;1.5;RETENUE;
Australie;au_translink_seq;Toombul station;au_translink_seq|toombulstation@-27.41,153.06;103.2;51.8;50;58.8;94.2;99.4;40.5;0.21;0.25;15;87;6;0.17;0.17;RETENUE;
Pays-Bas;nl_ovapi;Olst;nl_ovapi|olst@52.34,6.11;61.7;51.2;83;46.9;94.8;99;52.1;0.34;0.29;12;119;6;0.17;0;RETENUE;
Pays-Bas;nl_ovapi;Wijhe;nl_ovapi|wijhe@52.39,6.14;61.7;50;81;18.7;93;99;80.3;0.34;0.29;12;119;6;0.17;0;RETENUE;
Australie;au_translink_seq;Nundah station;au_translink_seq|nundahstation@-27.40,153.06;102.8;47.3;46;56.7;94.7;99.6;43;0.21;0.25;14;88;6;0.17;0.33;RETENUE;
Australie;au_translink_seq;Wellington Point station;au_translink_seq|wellingtonpointstation@-27.49,153.24;93.2;46.8;50;62.6;97.5;100;37.4;0.2;0.21;5;77;6;0;0.33;RETENUE;
Australie;au_translink_seq;Wynnum station;au_translink_seq|wynnumstation@-27.44,153.17;69.2;46.8;68;52;94.7;99.6;47.7;0.23;0.25;9;76;6;0;0;RETENUE;
Australie;au_translink_seq;Cannon Hill station;au_translink_seq|cannonhillstation@-27.47,153.09;70;46.2;66;66.1;93.5;98.6;32.5;0.21;0.23;16;75;6;0;0.33;RETENUE;
